"record_id","year_of_birth","profession","q1_2022","q2_2022","q3_2022","q4_2022","q4_coded_2022","q4_improvements_2022","q1_2023","q2_2023","q3_2023","q4_2023","q4_coded_2023","q4_improvements_2023","q1_2024","q2_2024","q3_2024","q4_2024","q4_coded_2024","q4_improvements_2024","female","male","nonbinary","a_gender_not_listed","White","Black_or_African_American","Asian","American_Indian_or_Alaska_Native","Native_Hawaiian_or_Other_Pacific_Islander","Hispanic_or_Latino","zip_code","major_city","county","state"
"1","1993","Manager","1","19.6","2","The program was fine, but I didn’t feel fully engaged. More group work could help with that.","Neutral","Interactivity","2","92.6","2","I really liked the program, but I think it could be more interactive to engage participants even more.","Engagement","Interactivity","3","16.4","1","I learned so much from the program. Everything was clear, engaging, and incredibly useful.","Positive",NA,"1","0","0","1","1","0","0","0","0","0","'26349","Galloway","Barbour County","WV"
"2","1976","Scientist","3","19.7","-1","It’s an OK program. More opportunities for feedback would have been helpful.","Positive","Feedback","1","58.6","-2","The program was okay, but I think it would benefit from a clearer focus on the main topics.","Neutral",NA,"0","79.9","-2","It was an excellent program. The material was engaging, and I feel confident applying what I’ve learned.","Positive",NA,"0","0","0","1","0","1","0","0","0","1","'11742","Holtsville","Suffolk County","NY"
"3","1986","Artist","3","84","1","It was an average program. It could have been more engaging with some additional activities.","Engagement",NA,"0","82.5","1","It was a great program. More personalized feedback would help me understand the material better.","Improvement","Feedback","1","90.3","-1","I feel like the program was perfect. It covered everything I needed, and the structure was flawless.","Neutral",NA,"1","1","0","0","0","1","0","0","1","0","'78886","Yancey","Medina County","TX"
"4","1994","Manager","0","31.3","2","The program was fine, but I didn’t feel it was that engaging. More activities would be helpful.","Positive",NA,"2","1.5","2","The program was great, but I think a more structured timeline for each module would have been beneficial.","Positive","Pacing","2","68.7","2","I couldn’t have asked for a better program. It was well-structured, and I feel more prepared after completing it.","Improvement",NA,"1","0","0","0","0","0","0","1","0","0","'24312","Austinville","Carroll County","VA"
"5","1996","Artist","0","32.9","2","It’s OK, but I feel like I needed more time to fully absorb the content.","Neutral","Content Depth","2","70.4","0","I liked the program overall, but it would be more beneficial if it included more diverse learning formats.","Positive",NA,"1","77.9","2","The program was spot-on. I felt like all my learning needs were met, and I feel prepared to apply the material.","Neutral",NA,"0","1","1","0","0","0","1","0","0","0","'92149","San Diego","San Diego County","CA"
"6","1987","Teacher","1","60.6","1","The program was good, but it would be even better with more interactive sessions and group discussions.","Improvement","Interactivity","1","30","0","I really liked the program, but I think it could be more interactive to engage participants even more.","Engagement","Interactivity","3","1.1","1","I had an excellent experience. The program was engaging, informative, and provided everything I needed to succeed.","Engagement",NA,"0","0","0","1","0","0","0","0","0","1","'50009","Altoona","Polk County","IA"
"7","1986","Scientist","0","67","0","The content was helpful, but I think it could have been better organized with a clearer structure.","Positive","Content Depth","0","21.7","1","I found the program very beneficial. It was well-organized, though adding more real-world examples would be valuable.","Positive","Content Depth","0","97","0","The program was fantastic. I learned a lot, and I think it covered everything I hoped for and more.","Positive",NA,"0","1","0","1","1","0","0","1","1","0","'56358","Ogilvie","Kanabec County","MN"
"8","1996","Scientist","1","9.8","-1","It wasn’t exactly what I expected, but it’s OK. More engaging activities would have been helpful.","Positive",NA,"3","56.9","-1","The program was okay, but I think it would benefit from a clearer focus on the main topics.","Neutral",NA,"1","82.7","-2","It was a wonderful experience. Everything from the material to the pace was on point, and I feel fully prepared.","Neutral",NA,"1","0","0","0","0","1","1","1","0","0","'35282","Birmingham","Jefferson County","AL"
"9","1982","Scientist","2","62.1","0","The program was OK, but I think the content was a bit repetitive. A more diverse range of topics would be great.","Neutral","Content Depth","1","92.6","2","The program was very helpful, and I learned a lot. A few more interactive activities would improve it further.","Positive","Interactivity","1","34.6","2","I couldn’t have asked for a better program. It was well-structured, and I feel more prepared after completing it.","Improvement",NA,"1","1","0","0","1","1","0","0","1","0","'02081","Walpole","Norfolk County","MA"
"10","1989","Artist","2","54.1","0","It was decent, but it wasn’t very engaging. More interactive workshops would be appreciated.","Engagement","Interactivity","1","97.7","-2","The program was great, but I think a more structured timeline for each module would have been beneficial.","Positive","Pacing","0","96.8","-2","I learned so much from the program. Everything was clear, engaging, and incredibly useful.","Positive",NA,"1","0","0","0","0","0","1","0","0","0","'07978","Pluckemin","Somerset County","NJ"
"11","1979","Engineer","1","31.4","-1","It was an OK program. Some of the topics could use more detailed explanations, though.","Neutral",NA,"0","34.4","0","I enjoyed the program, but I felt some sections were rushed and could use more time for explanation.","Neutral","Pacing","2","85.6","-2","The program was amazing! I learned so much and everything was very well-organized.","Positive",NA,"1","1","0","1","1","0","0","0","1","1","'68037","Louisville","Cass County","NE"
"12","1977","Scientist","3","97.1","-2","The program was fine, but I think more interactive exercises could help with better engagement.","Improvement","Interactivity","3","26.3","1","The program was great, but I think a more structured timeline for each module would have been beneficial.","Positive","Pacing","2","3.1","-2","The program was wonderful. It really exceeded my expectations and left me feeling confident about the material.","Neutral",NA,"1","1","0","0","1","0","0","0","0","0","'29657","Liberty","Pickens County","SC"
"13","1985","Artist","2","46.6","2","I liked the program, but some areas need more in-depth coverage, especially on the more advanced topics.","Neutral","Content Depth","3","17.7","-2","I liked the program overall, but it would be more beneficial if it included more diverse learning formats.","Positive",NA,"3","53.9","1","I loved the program! It was highly informative and organized, and I feel much more knowledgeable.","Neutral",NA,"1","0","0","0","0","0","0","1","0","1","'55561","Monticello","Wright County","MN"
"14","1989","Scientist","3","53.7","0","The program was OK, but I didn’t feel that it addressed my specific needs.","Neutral",NA,"2","80.3","2","I liked the program overall, but it would be more beneficial if it included more diverse learning formats.","Positive",NA,"1","16.6","-1","I loved the program! It was highly informative and organized, and I feel much more knowledgeable.","Neutral",NA,"0","1","1","0","1","0","0","0","1","0","'53202","Milwaukee","Milwaukee County","WI"
"15","1986","Scientist","1","76.5","-1","The content was helpful, but I think it could have been better organized with a clearer structure.","Positive","Content Depth","3","88.9","-2","The program was excellent overall, but a few more hands-on activities would make it even more effective.","Neutral","Interactivity","1","59.7","1","The program was fantastic. I learned a lot, and I think it covered everything I hoped for and more.","Positive",NA,"0","1","1","0","0","1","0","1","0","0","'47393","Williamsburg","Wayne County","IN"
"16","1983","Teacher","0","57.8","-2","It’s an OK program, but I think the content could be more tailored to different learning styles.","Neutral","Content Depth","1","8","0","I found the program very beneficial. It was well-organized, though adding more real-world examples would be valuable.","Positive","Content Depth","1","45.6","-1","I found the program extremely helpful. It exceeded my expectations, and I feel confident in the material.","Positive",NA,"1","1","0","0","0","0","0","0","0","1","'31058","Mauk","Marion County","GA"
"17","1986","Manager","1","27.5","0","It was an average experience. The program could have been more engaging and better organized.","Improvement",NA,"0","53.7","-2","It was a good program. A more interactive approach would help keep participants engaged longer.","Engagement","Interactivity","3","54.3","-1","It was an excellent program. The content was delivered perfectly, and everything was well-paced and engaging.","Engagement","Content Depth","0","1","0","0","0","1","0","0","0","0","'86023","Grand Canyon","Coconino County","AZ"
"18","1997","Teacher","0","68.7","1","The content was useful, but I think the program would benefit from more examples and case studies.","Positive","Content Depth","0","46.7","0","The content was clear and useful, but a bit more focus on practical applications would have been nice.","Positive","Content Depth","0","98.3","-1","It was an excellent program. The material was engaging, and I feel confident applying what I’ve learned.","Positive",NA,"0","1","1","1","0","0","0","0","1","0","'97396","Willamina","Yamhill County","OR"
"19","1978","Artist","3","5.8","0","It was an average experience. The program could have been more engaging and better organized.","Improvement",NA,"1","27.1","1","I liked the program overall, but it would be more beneficial if it included more diverse learning formats.","Positive",NA,"0","3.6","0","The program was great. I feel more confident in the material, and the organization was top-notch.","Neutral",NA,"1","1","0","0","1","0","0","1","0","0","'02540","Falmouth","Barnstable County","MA"
"20","1984","Scientist","0","22.8","2","It could be more engaging and less lecture-based. Otherwise, it was an OK program.","Engagement",NA,"2","57.8","0","The program was really good, but I think it could have been more tailored to individual needs.","Neutral",NA,"1","28.2","2","It was an excellent program. The material was engaging, and I feel confident applying what I’ve learned.","Positive",NA,"1","1","0","0","0","0","0","1","1","1","'60008","Rolling Meadows","Cook County","IL"
"21","1996","Manager","0","68.7","-1","I’m not sure if I found it helpful, but it wasn’t terrible. I think more real-world application would make it better.","Positive","Real-World Examples","0","59.9","2","I thought the program was helpful, but adding more practical exercises would improve the learning experience.","Positive",NA,"2","85.3","1","I loved the program! It was highly informative and organized, and I feel much more knowledgeable.","Neutral",NA,"1","0","0","1","0","0","0","0","1","1","'58833","Ambrose","Divide County","ND"
"22","1992","Engineer","2","77.3","-1","It’s OK, but I feel like I needed more time to fully absorb the content.","Neutral","Content Depth","3","2.9","-2","The program was fantastic. Some slight improvements in pacing and content depth would make it even better.","Positive","Content Depth","0","44.9","-2","I feel like the program was perfect. It covered everything I needed, and the structure was flawless.","Neutral",NA,"1","0","0","1","0","0","0","0","1","0","'79912","El Paso","El Paso County","TX"
"23","1991","Manager","0","75.6","0","It was fine overall, but I feel it lacked more interactive elements to make it more engaging.","Engagement","Interactivity","2","38.3","1","I feel like the program was very useful. More engagement in certain sections would help retain attention.","Positive","Interactivity","2","92.9","-2","I feel like the program was perfect. It covered everything I needed, and the structure was flawless.","Neutral",NA,"0","0","1","1","0","0","0","1","0","1","'32663","Lowell","Marion County","FL"
"24","1982","Manager","1","9.8","0","It’s OK, but I think it would be better if the pace was slowed down and more time was given to practice.","Improvement","Pacing","1","27","2","I feel like the program was very useful. More engagement in certain sections would help retain attention.","Positive","Interactivity","0","69.6","2","The program was great. I feel more confident in the material, and the organization was top-notch.","Neutral",NA,"0","0","0","1","0","1","0","0","0","0","'61012","Capron","Boone County","IL"
"25","1976","Artist","1","26.5","1","The content was decent, but it could use more depth. Overall, the program is OK for what it is.","Neutral","Content Depth","2","51.2","1","The content was clear and useful, but a bit more focus on practical applications would have been nice.","Positive","Content Depth","1","57.7","-1","It was a wonderful experience. Everything from the material to the pace was on point, and I feel fully prepared.","Neutral",NA,"1","0","0","1","1","1","0","0","0","0","'28638","Hudson","Caldwell County","NC"
"26","1976","Scientist","0","77","1","The program was fine, but I think more interactive exercises could help with better engagement.","Improvement","Interactivity","0","85.7","-1","The program was very helpful, and I learned a lot. A few more interactive activities would improve it further.","Positive","Interactivity","1","54.4","1","The program was fantastic. I feel it met all my learning needs and was incredibly informative.","Positive",NA,"0","0","0","1","0","0","0","0","0","1","'41031","Cynthiana","Harrison County","KY"
"27","1979","Scientist","3","97.8","2","I feel like the program was OK overall, but it needs more depth in certain areas.","Neutral","Content Depth","2","58.9","0","I thought the program was helpful, but adding more practical exercises would improve the learning experience.","Positive",NA,"0","12.7","-1","The program was spot-on. I felt like all my learning needs were met, and I feel prepared to apply the material.","Neutral",NA,"0","0","0","1","0","0","0","0","1","0","'15536","Crystal Spring","Fulton County","PA"
"28","1976","Scientist","1","80.6","-1","The program was OK, but I would have liked more practical demonstrations of the concepts.","Neutral",NA,"3","19","2","The program was very helpful, and I learned a lot. A few more interactive activities would improve it further.","Positive","Interactivity","2","37.4","1","The program was wonderful. It really exceeded my expectations and left me feeling confident about the material.","Neutral",NA,"1","0","0","1","0","0","0","0","1","0","'52562","Hayesville","Keokuk County","IA"
"29","1976","Teacher","3","73.1","-1","It could use some adjustments. Some sections were very helpful, but others felt like a waste of time.","Positive","Pacing","0","98.2","0","The program was solid, though I would have liked more feedback during the process to gauge my progress.","Neutral","Feedback","1","92.6","-1","It was an excellent program. The content was delivered perfectly, and everything was well-paced and engaging.","Engagement","Content Depth","0","0","1","0","0","0","0","0","0","1","'60653","Chicago","Cook County","IL"
"30","1993","Artist","2","47.4","0","The content was helpful, but I think it could have been better organized with a clearer structure.","Positive","Content Depth","3","26.3","-1","I found the program to be very informative, but the pace was a bit quick. More time for questions would help.","Neutral","Pacing","2","89.4","2","It was an excellent program. The content was delivered perfectly, and everything was well-paced and engaging.","Engagement","Content Depth","0","0","1","0","0","0","0","1","1","0","'21662","Royal Oak","Talbot County","MD"
"31","1986","Engineer","0","25.5","2","It wasn’t exactly what I expected, but it’s OK. More engaging activities would have been helpful.","Positive",NA,"3","90.7","2","I thought the program was helpful, but adding more practical exercises would improve the learning experience.","Positive",NA,"0","46.2","-2","The program was amazing! I learned so much and everything was very well-organized.","Positive",NA,"1","0","1","0","0","1","0","1","0","0","'37748","Harriman","Roane County","TN"
"32","1999","Manager","2","68.3","1","It could use some adjustments. Some sections were very helpful, but others felt like a waste of time.","Positive","Pacing","3","66","1","I feel like the program was very useful. More engagement in certain sections would help retain attention.","Positive","Interactivity","2","43.7","1","I can't think of anything that could have been improved. The program was comprehensive and engaging.","Improvement",NA,"1","0","1","0","1","0","0","0","0","1","'01236","Housatonic","Berkshire County","MA"
"33","1979","Teacher","3","96.6","-2","I liked the overall structure, but I felt it could have gone deeper into certain topics.","Neutral",NA,"0","70.4","1","It was a great experience overall. The content was engaging, but a bit more depth on certain topics could be helpful.","Positive","Content Depth","2","97.3","-1","The program was fantastic. I learned a lot, and I think it covered everything I hoped for and more.","Positive",NA,"0","0","1","1","0","0","1","0","0","1","'62713","Springfield","Sangamon County","IL"
"34","1987","Engineer","2","24.3","1","It was decent, but it wasn’t very engaging. More interactive workshops would be appreciated.","Engagement","Interactivity","3","81.4","-2","The program was really good, but I think it could have been more tailored to individual needs.","Neutral",NA,"2","68.6","2","The program was fantastic. I learned a lot, and I think it covered everything I hoped for and more.","Positive",NA,"1","0","1","0","0","1","0","1","0","1","'80001","Arvada","Jefferson County","CO"
"35","1995","Artist","1","42.8","0","It was OK, but I think it could be better with clearer examples and more detailed instructions.","Improvement","Content Depth","1","63","-1","The program was okay, but I think it would benefit from a clearer focus on the main topics.","Neutral",NA,"1","8.1","0","The program was extremely effective. The content was delivered perfectly, and I feel much more confident in the material.","Neutral","Content Depth","1","1","0","0","0","0","1","1","0","1","'82072","Laramie","Albany County","WY"
"36","1981","Engineer","0","48.4","-1","It was a decent program, but it could have been a lot better with more activities and fewer lectures.","Improvement",NA,"1","41.8","1","The program was solid, though I would have liked more feedback during the process to gauge my progress.","Neutral","Feedback","0","95.1","-1","I had an incredible experience with the program. The content was clear, engaging, and well-paced.","Engagement","Content Depth","1","0","1","1","0","0","0","0","1","0","'04685","Swans Island","Hancock County","ME"
"37","1993","Teacher","2","10.3","-1","I didn't find the program all that helpful, but it wasn’t bad either. Some more detailed examples could have helped.","Positive","Content Depth","3","58.1","2","I really appreciated the program. It would be even better with more diverse perspectives included.","Improvement",NA,"1","35.6","0","It was a truly great program. It was well-organized, informative, and really helped me build my skills.","Neutral",NA,"0","1","0","0","0","0","0","1","0","0","'63101","Saint Louis","St. Louis city","MO"
"38","1979","Manager","0","98.7","2","The content was decent, but it could use more depth. Overall, the program is OK for what it is.","Neutral","Content Depth","2","69.8","-2","The content was clear and useful, but a bit more focus on practical applications would have been nice.","Positive","Content Depth","3","27.8","2","It was a wonderful experience. Everything from the material to the pace was on point, and I feel fully prepared.","Neutral",NA,"1","1","0","0","1","0","0","0","0","1","'88588","El Paso","El Paso County","TX"
"39","1989","Engineer","0","61","2","It was good, but I think it could benefit from more group collaboration and problem-solving exercises.","Neutral",NA,"3","48.4","2","The program was excellent overall, but a few more hands-on activities would make it even more effective.","Neutral","Interactivity","1","51","1","I loved the program! It was highly informative and organized, and I feel much more knowledgeable.","Neutral",NA,"0","1","1","0","0","0","0","1","1","0","'77976","Nursery","Victoria County","TX"
"40","1988","Manager","2","67.5","1","The program was fine, but I expected more personalized support. I think that would make it more effective.","Neutral","Feedback","1","91.9","-2","I found the program to be very informative, but the pace was a bit quick. More time for questions would help.","Neutral","Pacing","3","71.7","-1","I couldn’t have asked for a better program. It was well-structured, and I feel more prepared after completing it.","Improvement",NA,"1","1","0","0","0","0","1","1","1","0","'93527","Inyokern","Kern County","CA"
"41","1981","Teacher","2","40.1","2","The program was OK, but I would have liked more practical demonstrations of the concepts.","Neutral",NA,"0","14.8","-1","I thought the program was helpful, but adding more practical exercises would improve the learning experience.","Positive",NA,"3","46.7","0","I feel like the program was perfect. It covered everything I needed, and the structure was flawless.","Neutral",NA,"1","1","0","0","0","1","0","0","0","0","'76569","Rogers","Bell County","TX"
"42","1981","Teacher","1","2.4","-2","It could use some adjustments. Some sections were very helpful, but others felt like a waste of time.","Positive","Pacing","3","22.6","2","The program was really good, but I think it could have been more tailored to individual needs.","Neutral",NA,"0","79.9","-2","I can't think of anything that could have been improved. The program was comprehensive and engaging.","Improvement",NA,"0","0","0","1","0","0","0","0","1","0","'97918","Vale","Malheur County","OR"
"43","1979","Scientist","3","28.5","0","I didn't find the program all that helpful, but it wasn’t bad either. Some more detailed examples could have helped.","Positive","Content Depth","3","1.4","-2","It was a good experience, but a few more examples of how the material applies in real-life situations would be helpful.","Positive","Content Depth","3","62.1","0","The program was spot-on. I felt like all my learning needs were met, and I feel prepared to apply the material.","Neutral",NA,"1","0","1","0","0","0","0","1","1","0","'77664","Warren","Tyler County","TX"
