record_id,question,year,responses_numeric,responses_character
1,q1,2022,1,NA
1,q1,2023,2,NA
1,q1,2024,3,NA
1,q2,2022,19.6,NA
1,q2,2023,92.6,NA
1,q2,2024,16.4,NA
1,q3,2022,2,NA
1,q3,2023,2,NA
1,q3,2024,1,NA
2,q1,2022,3,NA
2,q1,2023,1,NA
2,q1,2024,0,NA
2,q2,2022,19.7,NA
2,q2,2023,58.6,NA
2,q2,2024,79.9,NA
2,q3,2022,-1,NA
2,q3,2023,-2,NA
2,q3,2024,-2,NA
3,q1,2022,3,NA
3,q1,2023,0,NA
3,q1,2024,1,NA
3,q2,2022,84,NA
3,q2,2023,82.5,NA
3,q2,2024,90.3,NA
3,q3,2022,1,NA
3,q3,2023,1,NA
3,q3,2024,-1,NA
4,q1,2022,0,NA
4,q1,2023,2,NA
4,q1,2024,2,NA
4,q2,2022,31.3,NA
4,q2,2023,1.5,NA
4,q2,2024,68.7,NA
4,q3,2022,2,NA
4,q3,2023,2,NA
4,q3,2024,2,NA
5,q1,2022,0,NA
5,q1,2023,2,NA
5,q1,2024,1,NA
5,q2,2022,32.9,NA
5,q2,2023,70.4,NA
5,q2,2024,77.9,NA
5,q3,2022,2,NA
5,q3,2023,0,NA
5,q3,2024,2,NA
6,q1,2022,1,NA
6,q1,2023,1,NA
6,q1,2024,3,NA
6,q2,2022,60.6,NA
6,q2,2023,30,NA
6,q2,2024,1.1,NA
6,q3,2022,1,NA
6,q3,2023,0,NA
6,q3,2024,1,NA
7,q1,2022,0,NA
7,q1,2023,0,NA
7,q1,2024,0,NA
7,q2,2022,67,NA
7,q2,2023,21.7,NA
7,q2,2024,97,NA
7,q3,2022,0,NA
7,q3,2023,1,NA
7,q3,2024,0,NA
8,q1,2022,1,NA
8,q1,2023,3,NA
8,q1,2024,1,NA
8,q2,2022,9.8,NA
8,q2,2023,56.9,NA
8,q2,2024,82.7,NA
8,q3,2022,-1,NA
8,q3,2023,-1,NA
8,q3,2024,-2,NA
9,q1,2022,2,NA
9,q1,2023,1,NA
9,q1,2024,1,NA
9,q2,2022,62.1,NA
9,q2,2023,92.6,NA
9,q2,2024,34.6,NA
9,q3,2022,0,NA
9,q3,2023,2,NA
9,q3,2024,2,NA
